"ID","Population","Individual","State","Locality","Latitude","Longitude","Ecoregion","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","alt","Copia_mean","Gypsy_mean","Harbinger_mean","Helitron_mean","L1_mean","MSAT_mean","MuDR_mean","RTE_mean","SAT_mean","SINE2.tRNA_mean","hAT_mean","unclassified_mean","Copia_sd","Gypsy_sd","Harbinger_sd","Helitron_sd","L1_sd","MSAT_sd","MuDR_sd","RTE_sd","SAT_sd","SINE2.tRNA_sd","hAT_sd","unclassified_sd","X1_0_water","X1_1_soc","X1_2_ph","X1_3_bdens","X2_0_temp","X2_1_precip","X2_2_gfsad","gfsad_check","water","ag","Notes"
"JG_CO_011_L","p_011","L","AL","Dallas County",32.224783,-87.253796,8.3,178,131,41,6927,331,14,317,102,183,264,86,1371,163,67,22,423,252,326,400,59,0.0922558158662989,0.4931648380581,0.0168290794601522,0.00277207061344089,0.00457569614319449,4.11982463940997e-05,0.00619187206004959,7.30840554790863e-05,0.00134900763101104,0.000168992309066241,0.00536256897141089,0.0330255563945965,0.00308834829874645,0.0160268284801924,0.000784910584492026,0.000312587396739763,0.000405789028747457,2.52075342147019e-05,0.000496607536085351,4.34692953166949e-05,0.000166633760584645,7.35912995447343e-05,0.000484831371009804,0.00184531213843842,21.88146618,2.303872054,52.70867769,151.7914754,21.91177916,107.2363024,0,0,"rain","AG",""
"JG_CO_011_M","p_011","M","AL","Dallas County",32.224783,-87.253796,8.3,178,131,41,6927,331,14,317,102,183,264,86,1371,163,67,22,423,252,326,400,59,0.0931790524313156,0.505608488449526,0.0172261665294065,0.00278196949404863,0.00456966896298863,3.61729788915844e-05,0.00649431986004789,7.04466546781704e-05,0.00131971442071279,0.000173531847945431,0.00539292853920647,0.034920048587542,0.00166468130265513,0.00650050994072593,0.000863702869737623,0.000296613380903119,0.000440540054377815,2.66137240057504e-05,0.000538721303799959,4.74914423827293e-05,0.000170324037126598,7.8618509576185e-05,0.000368034118129748,0.0016269531546264,21.88146618,2.303872054,52.70867769,151.7914754,21.91177916,107.2363024,0,0,"rain","AG",""
"JG_CO_011_P","p_011","P","AL","Dallas County",32.224783,-87.253796,8.3,178,131,41,6927,331,14,317,102,183,264,86,1371,163,67,22,423,252,326,400,59,0.0936275259033563,0.507136288994689,0.016922400874354,0.00286767287013562,0.00466595349790529,4.17738151941102e-05,0.0066770875844535,9.45377620168986e-05,0.000880264029635716,0.000174877091371467,0.0052839403260477,0.0343655503483651,0.00228800923967687,0.00495578323679756,0.000791368561774929,0.000359608218547943,0.000356419005091136,2.36948865977026e-05,0.000546153306636026,4.87915025549435e-05,0.000177320064912731,7.49628672671054e-05,0.000357100404058774,0.00174801703864893,21.88146618,2.303872054,52.70867769,151.7914754,21.91177916,107.2363024,0,0,"rain","AG",""
"JG_CO_028_C","p_028","C","OH","Columbus",40.135364,-83.035222,8.2,106,121,32,9092,294,-79,373,199,-17,218,-17,950,104,52,21,303,179,290,179,242,0.0937271790115873,0.51061628358528,0.0168575003166092,0.00279519123054328,0.00451298449666336,5.03776267797958e-05,0.00634349433917099,7.90894093195179e-05,0.00108184556553391,0.000169274249655715,0.00535318568686548,0.0342101229814351,0.00297285140062751,0.0114225119868777,0.000977661932796245,0.000443375784380664,0.000466595303238458,2.77116933716776e-05,0.000463466270294149,5.44674427524795e-05,0.00021557377187546,8.82674883199083e-05,0.000457504335403101,0.0018742915379584,21.70815184,3.336375579,59.32821683,151.7779161,17.61024096,81.97790915,0,0,"rain","NOAG",""
"JG_CO_028_F","p_028","F","OH","Columbus",40.135364,-83.035222,8.2,106,121,32,9092,294,-79,373,199,-17,218,-17,950,104,52,21,303,179,290,179,242,0.0809250068076432,0.415313767150251,0.0192711254982833,0.00283070284609902,0.00450718122863702,6.04168958136853e-05,0.00527382753079597,0.000106451446605232,0.00113581206818512,0.000206858958815988,0.00545749814445402,0.0378039631495726,0.00204712181023109,0.00572704464501386,0.000871065502371932,0.000280064961169423,0.000389377790822326,2.51348797832425e-05,0.000455827127805779,5.63736076350742e-05,0.000160715123547856,7.20231429067632e-05,0.000354310329911305,0.00173025743936874,21.70815184,3.336375579,59.32821683,151.7779161,17.61024096,81.97790915,0,0,"rain","NOAG",""
"JG_CO_045_A","p_045","A","MS","Lowndes County",33.482316,-88.499401,8.3,168,129,39,7457,329,0,329,123,222,261,70,1407,154,81,21,431,254,302,406,71,0.107691076551011,0.505298420205936,0.0145653703203598,0.00267398869048217,0.00442584615433457,4.10831234643022e-05,0.00635033644383284,0.000104390177991476,0.000776077545058426,0.000165829696742473,0.00499270175735413,0.0352434882607569,0.00213706038804954,0.0144455179129974,0.000792428539391818,0.000291341470555271,0.000409140879726728,2.50448161606284e-05,0.000563450282861409,5.38814768312302e-05,0.000161128476931271,7.4358812138267e-05,0.000416510074243724,0.00171963302956405,24.41363191,4.424715374,57.92942773,158.9837895,23.69137902,112.9927807,3,3,"rain","AG",""
"JG_CO_045_C","p_045","C","MS","Lowndes County",33.482316,-88.499401,8.3,168,129,39,7457,329,0,329,123,222,261,70,1407,154,81,21,431,254,302,406,71,0.0844661780374682,0.465913738695915,0.0167196327219547,0.00266692411461317,0.0039658774155928,5.01103431853475e-05,0.00639082691945342,8.24690622339299e-05,0.00127342500791213,0.00014547330214909,0.00504777056533935,0.0329976468309984,0.00584270904847834,0.0277350395017411,0.00151484295237963,0.000276676894643657,0.00042073375806192,3.26752454578022e-05,0.000525652168022698,5.60554798125579e-05,0.000153236785804203,6.42702504828936e-05,0.000530220995561631,0.00296565179226101,24.41363191,4.424715374,57.92942773,158.9837895,23.69137902,112.9927807,3,3,"rain","AG",""
"JG_CO_045_D","p_045","D","MS","Lowndes County",33.482316,-88.499401,8.3,168,129,39,7457,329,0,329,123,222,261,70,1407,154,81,21,431,254,302,406,71,0.0841329982967948,0.446005584495012,0.0176886362600186,0.00280141210220347,0.00433916093715349,6.52274455606364e-05,0.006228683600634,8.42765259241114e-05,0.00124613240340882,0.000188286160079147,0.00537344855472195,0.0322826203840072,0.00205411749312162,0.010795410498488,0.000806945505176345,0.000379586296019444,0.00048585021758959,3.28459886779684e-05,0.000430765643151319,5.01603422954552e-05,0.00019078950830261,5.37471296289666e-05,0.000457926965889102,0.00168023764730041,24.41363191,4.424715374,57.92942773,158.9837895,23.69137902,112.9927807,3,3,"rain","AG",""
"JG_CO_045_E","p_045","E","MS","Lowndes County",33.482316,-88.499401,8.3,168,129,39,7457,329,0,329,123,222,261,70,1407,154,81,21,431,254,302,406,71,0.112706280373619,0.51070089450742,0.0135596132641835,0.00244162613645671,0.0047642286588475,6.10105059706753e-05,0.00625523262380479,0.000100549267863491,0.00119863313990857,0.000163956320865752,0.00483311446751051,0.0376358899598589,0.00274044384029934,0.00595191325103288,0.000825571186592186,0.000309144943667409,0.000448301551354529,4.07463938403951e-05,0.000455356866884576,5.28220075376226e-05,0.000235067702220779,7.69899285856862e-05,0.000429655514299476,0.001677770200104,24.41363191,4.424715374,57.92942773,158.9837895,23.69137902,112.9927807,3,3,"rain","AG",""
"JG_CO_045_F","p_045","F","MS","Lowndes County",33.482316,-88.499401,8.3,168,129,39,7457,329,0,329,123,222,261,70,1407,154,81,21,431,254,302,406,71,0.101594710688283,0.48275948423502,0.014157127750517,0.00261239494589493,0.0042969444021019,6.461254002289e-05,0.00585054554481106,9.23298487420651e-05,0.00118798833439262,0.000155855967626158,0.00489795849779678,0.0354210445732216,0.00267599068244108,0.00959049737330281,0.000805180624100871,0.000352446116675391,0.000460322797329609,4.28556896219202e-05,0.000459466553068573,5.39597225742905e-05,0.000215930863643599,6.13356897724775e-05,0.000417657286967457,0.00169010125925932,24.41363191,4.424715374,57.92942773,158.9837895,23.69137902,112.9927807,3,3,"rain","AG",""
