Population,State,Locality,Lat,Long
p_011,AL,Dallas County,32.224783,-87.253796
p_028,OH,Columbus,40.135364,-83.035222
p_045,MS,Lowndes County,33.482316,-88.499401
p_049,AZ,Yavapai,34.230035,-112.09887
p_054,TN,Columbia,35.6695247,-87.0180417
p_055,TN,Portland,36.589954,-86.518198
p_059,FL,Hosford,30.387945,-84.67161
p_064,GA,Columbus,32.56522685,-84.86585333
p_069,TX,Corsicana,32.07507,-96.494779
p_089,CA,La Verne,34.101116,-117.793975
p_092,CA,Alameda,35.256692,-118.979182
p_093,CA,Wasco,35.55917,-119.40322
p_095,CA,Corcoran,36.123151,-119.49704
p_099,CA,LeGrand,37.221041,-120.243921
p_102,CA,Modesto,37.722175,-121.022255
p_104,CA,Acampo,38.203687,-121.24064
p_106,UT,St. George,37.062871,-113.52938
p_107,KS,Dorrance,38.853901,-98.59487
p_108,KS,Genesco,38.493199,-98.187627
p_109,KS,Partridge,37.974254,-98.087387
p_110,KS,Valley Center,37.803326,-97.281279
p_111,KS,Assaria,38.630398,-97.614886
p_113,KS,Junction City,39.014661,-96.863634
p_118,MO,Clinton,38.395177,-93.820249
p_120,MO,Balivar,37.555369,-93.41276
p_122,MO,Norwood,37.13527,-92.420787
p_124,AR,Williford,36.269959,-91.324114
p_125,AR,Trumann,35.678394,-90.576364
p_126,WV,Medina,39.0249441,-81.6265525
p_132,NE,Wood River,40.78734,-98.49152
p_194,IN,Connersville,39.61004,-85.243019
p_197,IN,Bryantsville,38.780345,-86.57307
p_199,KY,Utica,37.62723,-87.153139
p_232,VA,Phenix,37.09258332,-78.83826203
p_235,SC,Ridgeway,34.30697686,-80.9826394
p_239,GA,Macon,32.84851311,-83.58021036
p_241,AL,Thomaston,32.253898,-87.607831
p_242,TN,Decatur,35.47021891,-84.82486328
p_243,NC,Murphy,35.07170978,-83.93134286
p_244,AZ,Scottsdale,33.488043,-111.829516
p_245,AZ,Sonora,34.89795,-111.829184
p_076,TX,Crockett Co.,30.707242,-101.446998
p_077,TX,Bakersfield,30.990915,-102.242925
p_078,TX,Fort Stockton,30.901998,-102.873772
p_080,TX,Marfa,30.3362,-104.127639
p_081,NM,Las Cruces,32.336918,-106.707024
p_085,AZ,Eloy,32.733692,-111.585258
p_098,CA,Sanger,36.69363,-119.621514
p_128,WV,Lavalette,38.33549,-82.456096
p_131,VA,Free Union,38.112641,-78.520787
p_150,MS,North Panola School District,34.43792247,-90.08337915
p_188,AL,Wilhites,34.306403,-86.932651
p_204,TN,Knoxville,36.072265,-83.774627
p_206,VA,Big Stone Gap,36.902334,-82.678635
p_207,OH,Mt. Vernon,40.35827,-82.530223
p_215,OK,Whitesboro,34.67088667,-94.762925
p_218,OK,Muskogee,35.69611667,-95.41165333
p_220,OK,Stillwater,36.05801667,-97.1107945
p_223,TX,Whitewright,33.492273,-96.482805
p_224,TX,Winnsboro,32.957825,-95.33799667
p_225,LA,Natchitoches,31.699395,-93.21068667
p_229,SC,Greenville,34.868421,-82.421847
p_230,NC,Denton,35.693922,-80.005385
p_246,AZ,Tucson,31.85564,-110.97971
