Population,State,Locality,Latitude,Longitude,Ecoregion,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,alt,X1_0_water,X1_1_soc,X1_2_ph,X1_3_bdens,X2_0_temp,X2_1_precip,X2_2_gfsad,gfsad_check,water,Long,Lat,ag,Notes
p_011,AL,Dallas County,32.224783,-87.253796,8.3,178,131,41,6927,331,14,317,102,183,264,86,1371,163,67,22,423,252,326,400,59,21.88146618,2.303872054,52.70867769,151.7914754,21.91177916,107.2363024,0,0,rain,-87.253796,32.224783,AG,
p_028,OH,Columbus,40.135364,-83.035222,8.2,106,121,32,9092,294,-79,373,199,-17,218,-17,950,104,52,21,303,179,290,179,242,21.70815184,3.336375579,59.32821683,151.7779161,17.61024096,81.97790915,0,0,rain,-83.035222,40.135364,NOAG,
p_045,MS,Lowndes County,33.482316,-88.499401,8.3,168,129,39,7457,329,0,329,123,222,261,70,1407,154,81,21,431,254,302,406,71,24.41363191,4.424715374,57.92942773,158.9837895,23.69137902,112.9927807,3,3,rain,-88.499401,33.482316,AG,
p_049,AZ,Yavapai,34.230035,-112.09887,13.1,171,172,47,7151,369,4,365,262,198,266,86,420,60,7,43,148,35,114,126,947,23.12570146,1.328544706,77.98668163,153.1470258,32.93339095,33.26556304,0,0,rain,-112.09887,34.230035,NOAG,Located in a rain wash
p_054,TN,Columbia,35.6695247,-87.0180417,8.3,143,138,38,8013,318,-39,357,141,202,243,36,1356,147,85,16,401,269,303,355,176,22.38815403,1.809229865,60.96024397,152.9765579,20.78004924,110.3194812,3,4,rain,-87.0180417,35.6695247,NOAG,
p_055,TN,Portland,36.589954,-86.518198,8.3,137,123,34,8358,311,-46,357,137,198,241,24,1303,134,78,15,375,260,312,330,249,23.02397559,1.685193258,59.98060157,156.3424876,21.76764821,107.7658021,3,5,rain,-86.518198,36.589954,NOAG,
p_059,FL,Hosford,30.387945,-84.67161,8.3,196,129,45,5985,329,43,286,269,160,269,116,1487,193,78,27,508,263,508,343,25,20.07923497,2.90234192,48.90382514,146.2209212,23.336742,113.3698087,0,0,rain,-84.67161,30.387945,NOAG,
p_064,GA,Columbus,32.56522685,-84.86585333,8.3,176,131,41,6916,329,14,315,100,181,263,85,1241,139,58,21,371,224,321,353,154,18.42972623,1.974376573,54.41424541,155.1140853,23.16653321,101.7263403,0,3,rain,-84.8658533,32.5652269,AG,"No irrigation information, likely rainfed"
p_069,TX,Corsicana,32.07507,-96.494779,9.4,186,126,37,7525,353,14,339,225,279,279,85,965,130,48,27,309,183,183,209,148,20.66137566,1.607085346,59.92945326,166.2804233,27.63375776,84.89674872,0,0,rain,-96.494779,32.07507,NOAG,
p_076,TX,Crockett Co.,30.707242,-101.446998,9.4,183,152,42,7440,348,-9,357,235,82,274,82,447,78,15,49,181,52,133,52,687,19.78908073,1.701819879,78.29203609,157.0972157,30.7886032,37.06618448,0,0,rain,-101.446998,30.707242,NOAG,
p_077,TX,Bakersfield,30.990915,-102.242925,10.2,192,153,42,7472,358,0,358,243,112,284,92,358,68,10,58,158,36,110,39,703,18.62860465,1.686434109,81.49635659,148.6124806,33.0391345,28.50282946,0,0,rain,-102.242925,30.990915,NOAG,
p_078,TX,Fort Stockton,30.901998,-102.873772,10.2,184,166,45,7286,357,-5,362,234,107,276,89,334,60,10,55,138,35,116,38,902,19.91161852,1.551258155,81.80902454,153.1160298,33.92820208,27.55828674,0,0,rain,-102.873772,30.901998,NOAG,
p_080,TX,Marfa,30.3362,-104.127639,10.2,157,175,49,6453,326,-25,351,226,87,237,72,291,52,5,75,155,22,146,26,1474,19.5130007,1.262356524,78.70625439,149.6886859,33.8997517,29.92328414,0,0,rain,-104.127639,30.3362,NOAG,
p_081,NM,Las Cruces,32.336918,-106.707024,10.2,154,180,47,7492,342,-35,377,241,149,251,59,251,54,5,73,135,21,117,40,1307,16.60088624,1,80.32806173,151.6097486,33.20706509,18.33088853,0,0,rain,-106.707024,32.336918,NOAG,
p_085,AZ,Eloy,32.733692,-111.585258,10.2,211,182,47,7570,407,24,383,304,244,309,117,279,48,6,50,111,22,91,76,473,17.46435365,0.978011109,80.60290649,154.987674,35.46605836,19.2713802,0.039945218,2,irrigation,-111.585258,32.733692,AG,GFSAD categorizes as non-cropland but this pop is located in a drainage ditch next to an irrigation channel
p_089,CA,La Verne,34.101116,-117.793975,11.1,177,154,54,4560,332,48,284,129,233,240,123,486,104,1,92,283,7,16,267,311,25.18191354,1.7956095,74.27781524,146.5748108,30.00213494,31.84738143,0.035963138,0,rain,-117.793975,34.101116,NOAG,
p_092,CA,Alameda,35.256692,-118.979182,11.1,187,148,43,6745,370,32,338,118,272,272,101,175,32,0,79,94,3,3,82,102,21.26631198,3.195226483,79.05394222,158.3753048,30.56203466,17.17222715,4.133451563,1,irrigation,-118.979182,35.256692,AG,Collection notes mention irrigation
p_093,CA,Wasco,35.55917,-119.40322,11.1,172,159,45,6917,365,12,353,104,259,259,83,162,31,0,80,89,3,3,79,89,18.54385578,1.812214864,78.70676968,159.2783664,27.6765103,15.35678808,3.006181015,1,irrigation,-119.40322,35.55917,AG,Collection notes mention irrigation
p_095,CA,Corcoran,36.123151,-119.49704,11.1,171,158,45,6876,367,18,349,102,257,257,82,198,38,0,82,106,2,2,102,68,18.67170832,1.873812655,76.71394125,159.8478737,27.766446,19.82586219,3,1,irrigation,-119.49704,36.123151,AG,Collection notes mention irrigation
p_098,CA,Sanger,36.69363,-119.621514,11.1,170,152,44,6833,365,25,340,100,256,256,83,300,58,0,82,161,3,3,152,108,20.21796268,1.688811443,77.88295941,158.2623248,28.4807787,28.8540986,2.384447833,1,irrigation,-119.621514,36.69363,AG,Collection notes mention irrigaiton
p_099,CA,LeGrand,37.221041,-120.243921,11.1,164,158,46,6627,362,20,342,81,249,249,81,334,62,0,83,170,3,3,170,78,25.75286239,1.727298913,74.03341254,154.4554619,27.06406459,32.34921149,3,3,rain,-120.243921,37.221041,AG,
p_102,CA,Modesto,37.722175,-121.022255,11.1,164,147,46,6149,348,29,319,85,240,240,85,312,61,1,80,158,5,5,158,31,22.59856938,1.986623748,72.49363376,152.3426323,25.19778827,31.7922568,1,2,irrigation,-121.022255,37.722175,AG,NOTE: this is in a field across from irrigated ag land so likely recieves a small amount of runoff
p_104,CA,Acampo,38.203687,-121.24064,11.1,156,147,48,5715,330,28,302,82,225,225,82,451,89,1,83,229,7,7,229,22,18.15288434,1.669366297,74.25206024,167.4035237,27.17973288,42.52760017,3,2,irrigation,-121.24064,38.203687,AG,NOTE: drainage ditch across from irrigated cropland
p_106,UT,St. George,37.062871,-113.52938,10.2,168,169,40,8806,389,-24,413,80,210,284,58,210,27,5,35,77,29,42,67,814,20.43058263,1.628113494,80.42567324,148.9851996,30.92801458,17.61120136,4.487329435,1,irrigation,-113.52938,37.062871,AG,Collection notes mention irrigation
p_107,KS,Dorrance,38.853901,-98.59487,9.4,123,142,33,10043,339,-91,430,225,-8,252,-8,664,97,14,51,277,53,259,53,531,23.03446089,2.258703312,70.58463707,160.4940803,23.39693164,57.93516561,2.507399577,3,rain,-98.59487,38.853901,AG,
p_108,KS,Genesco,38.493199,-98.187627,9.4,123,137,32,9895,335,-88,423,224,-8,249,-8,701,105,13,51,289,55,273,55,544,21.86192498,1.741542817,69.05435244,159.1956122,22.46927884,62.03133404,0,3,rain,-98.187627,38.493199,AG,
p_109,KS,Partridge,37.974254,-98.087387,9.4,130,135,31,9891,342,-81,423,231,-2,255,-2,728,108,15,48,290,62,271,62,491,18.31579698,1.737311092,71.81258911,167.3488737,23.20066439,63.94174152,2.55774166,3,rain,-98.087387,37.974254,AG,Located in a rain wash
p_110,KS,Valley Center,37.803326,-97.281279,9.4,133,124,30,9723,335,-70,405,231,4,255,4,810,119,19,47,323,74,297,74,429,20.58369068,2.115708977,68.3481275,162.4008719,22.88385506,72.76098842,3,3,rain,-97.281279,37.803326,AG,
p_111,KS,Assaria,38.630398,-97.614886,9.4,129,132,31,9982,337,-80,417,230,-3,256,-3,764,113,20,47,308,73,279,73,400,23.56148902,1.829342375,72.5155047,160.9230063,22.62707459,64.28254574,1,4,rain,-97.614886,38.630398,AG,
p_113,KS,Junction City,39.014661,-96.863634,9.4,124,128,31,9945,326,-86,412,224,-10,248,-10,844,136,19,51,346,70,321,70,383,23.7944339,2.969990864,69.57200084,159.2922201,22.21602432,71.56788952,2.393211048,0,rain,-96.863634,39.014661,NOAG,
p_118,MO,Clinton,38.395177,-93.820249,9.2,125,131,32,9421,322,-79,401,220,-2,243,-2,1041,130,36,35,356,130,327,130,232,22.99106193,1.954032773,58.94935093,156.6781585,19.41648188,87.88893027,2.894232815,3,rain,-93.820249,38.395177,AG,
p_120,MO,Balivar,37.555369,-93.41276,8.4,128,130,33,9066,320,-73,393,178,5,241,5,1084,125,42,27,348,164,298,164,353,25.18257559,2.302233714,56.61617467,147.8258278,20.02811858,92.27048768,3.232923939,4,rain,-93.41276,37.555369,AG,Located in a drainage ditch
p_122,MO,Norwood,37.13527,-92.420787,8.4,127,131,34,8715,314,-66,380,176,9,235,9,1095,122,51,21,332,192,283,192,452,26.73282828,2.115728716,55.82092352,151.2259019,19.57158442,94.92281746,3.774675325,3,rain,-92.420787,37.13527,AG,
p_124,AR,Williford,36.269959,-91.324114,8.4,141,139,36,8601,331,-50,381,141,249,249,26,1191,125,80,16,360,258,258,273,171,26.54779626,2.529407472,58.46322242,146.7948774,20.46512734,98.90703444,0.042688266,0,rain,-91.324114,36.269959,NOAG,
p_125,AR,Trumann,35.678394,-90.576364,8.5,159,116,32,8535,335,-23,358,160,265,265,43,1228,131,77,19,383,242,242,304,64,22.72417089,1.796455622,59.41833958,161.1232444,22.0337727,105.4169608,1,1,irrigation,-90.576364,35.678394,AG,
p_126,WV,Medina,39.0249441,-81.6265525,8.4,115,131,35,8525,297,-68,365,202,1,221,1,1084,119,75,14,314,235,314,235,234,23.39222714,1.936046103,55.76140277,150.6824794,17.19689613,93.26250966,0,3,rain,-81.6265525,39.0249441,AG,
p_128,WV,Lavalette,38.33549,-82.456096,8.4,125,134,37,8351,305,-57,362,209,134,229,13,1079,122,71,16,322,233,316,239,169,23.36057317,2.038447897,57.95793431,153.8367738,18.19390012,93.80673193,0,0,rain,-82.456096,38.33549,NOAG,Located directly adjacent to a creek
p_131,VA,Free Union,38.112641,-78.520787,8.3,133,127,35,8130,310,-43,353,228,25,235,25,1122,116,74,14,322,232,316,232,173,25.99722163,2.95625846,60.91558025,151.7516563,19.68323752,83.72836076,5,0,rain,-78.520787,38.112641,NOAG,
p_132,NE,Wood River,40.78734,-98.49152,9.4,101,137,31,10336,315,-117,432,209,-36,232,-36,663,106,12,56,289,49,260,49,591,23.19688871,2.553796601,67.6075932,153.7357456,18.82329907,54.89209841,3,5,rain,-98.49152,40.78734,AG,
p_150,MS,North Panola School District,34.43792247,-90.08337915,8.3,161,124,36,7876,329,-11,340,161,217,259,56,1382,143,79,20,419,245,287,378,74,21.57803166,1.688246714,52.88209379,153.5955048,20.91051075,118.5547155,3,4,rain,-90.0833791,34.4379225,AG,
p_188,AL,Wilhites,34.306403,-86.932651,8.4,151,132,38,7621,318,-22,340,66,207,246,49,1461,165,85,17,429,286,321,406,267,22.57635615,2.215862327,56.37433595,152.6860456,21.06773064,113.5482043,4.462401796,4,rain,-86.932651,34.306403,AG,
p_194,IN,Connersville,39.61004,-85.243019,8.2,103,120,31,9097,292,-84,376,196,-20,215,-20,1059,120,63,20,332,207,304,207,339,25.9457478,2.645370758,57.39393939,148.8223712,16.09549365,91.02616604,4.261625471,3,rain,-85.243019,39.61004,AG,Located near drainage ditch
p_197,IN,Bryantsville,38.780345,-86.57307,8.3,119,126,34,8834,304,-65,369,209,1,229,1,1135,123,71,18,345,232,320,232,178,23.8947963,2.150038834,60.88773565,154.5041305,18.18737026,95.14832663,5,3,rain,-86.57307,38.780345,AG,
p_199,KY,Utica,37.62723,-87.153139,8.3,135,123,33,8676,315,-50,365,134,198,243,18,1169,118,70,15,351,245,283,275,120,22.13961831,1.801119242,59.60525183,154.2976037,19.8966247,100.2728333,2.617305209,4,rain,-87.153139,37.62723,AG,
p_204,TN,Knoxville,36.072265,-83.774627,8.4,138,128,37,7869,306,-36,342,217,196,236,33,1245,127,73,14,342,254,325,324,306,24.38425519,1.965100966,59.58955224,149.1493269,20.920702,100.5914911,4.027655838,0,rain,-83.774627,36.072265,NOAG,
p_206,VA,Big Stone Gap,36.902334,-82.678635,8.4,123,129,38,7780,291,-48,339,202,130,220,19,1151,118,73,12,326,247,314,276,504,24.19995658,3.836517586,54.01968447,146.2077001,17.84563178,98.44861774,0,3,rain,-82.678635,36.902334,AG,
p_207,OH,Mt. Vernon,40.35827,-82.530223,8.1,94,121,32,9109,283,-94,377,186,-30,206,-30,1011,111,57,20,320,190,308,190,342,24.79510514,3.588210962,58.13326439,153.9045846,15.72069355,83.53890038,3.137125129,3,rain,-82.530223,40.35827,AG,
p_215,OK,Whitesboro,34.67088667,-94.762925,8.4,157,142,37,8056,340,-36,376,157,48,257,48,1274,169,65,23,405,242,284,242,233,19.48453072,1.806708315,59.30209728,156.4393872,22.9162487,98.75658188,0,5,rain,-94.762925,34.6708867,NOAG,
p_218,OK,Muskogee,35.69611667,-95.41165333,9.2,158,130,34,8499,342,-33,375,204,44,263,44,1076,137,47,29,358,168,267,168,184,22.99684288,2.272613803,56.17180617,160.6546256,22.98348752,90.33483847,4.405286344,5,rain,-95.4116533,35.6961167,AG,Located in drainage ditch
p_220,OK,Stillwater,36.05801667,-97.1107945,9.4,153,130,33,8909,344,-44,388,242,35,266,35,875,134,28,41,317,104,254,104,313,20.53318713,1.743932749,62.48289474,163.2296784,22.94832127,74.08951023,2.901535088,3,rain,-97.1107945,36.0580167,AG,
p_223,TX,Whitewright,33.492273,-96.482805,9.4,172,122,34,8001,344,-7,351,214,66,273,66,1033,147,50,31,350,181,228,181,228,22.16278017,1.757074938,64.01592333,160.1470078,26.10682024,89.89234775,4.71360652,4,rain,-96.482805,33.492273,AG,
p_224,TX,Winnsboro,32.957825,-95.33799667,8.3,174,133,37,7769,347,-8,355,173,265,271,69,1101,128,54,21,339,217,224,244,147,23.51066576,1.959993927,57.21544067,163.0721172,25.33820238,94.2705534,2.754270098,5,rain,-95.3379967,32.957825,NOAG,
p_225,LA,Natchitoches,31.699395,-93.21068667,8.3,182,132,40,7070,339,12,327,86,234,269,86,1355,147,85,16,386,275,297,386,90,21.02872103,2.755062755,50.13729114,154.7288827,22.48506853,111.8532764,0,0,rain,-93.2106867,31.699395,NOAG,
p_229,SC,Greenville,34.868421,-82.421847,8.3,156,125,38,7386,317,-7,324,74,160,249,59,1361,151,95,12,392,295,342,358,292,22.33466904,2.973360047,66.6113832,144.4516177,25.33253785,103.4715977,5,0,rain,-82.421847,34.868421,NOAG,
p_230,NC,Denton,35.693922,-80.005385,8.3,153,129,38,7604,319,-17,336,249,106,249,52,1142,113,76,11,324,253,324,276,172,22.02977503,2.116747537,54.91633583,148.6462285,20.43535142,88.84969122,0.260255845,3,rain,-80.005385,35.693922,AG,
