"Longitude","Latitude","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
-87.253796,32.224783,17.8374996185303,13.1583337783813,41.7724876403809,715.078247070312,33.2000007629395,1.70000004768372,31.5,10.4000005722046,23,26.3999996185303,8.83333396911621,1389,166,67,22.8962802886963,438,256,328,412
-83.035222,40.135364,10.8333330154419,11.6333332061768,31.1885623931885,951.764709472656,29.6000003814697,-7.69999980926514,37.2999992370605,20.0499992370605,-1.38333332538605,22.2000007629395,-1.38333332538605,951,105,51,22.4118061065674,307,179,297,179
-88.499401,33.482316,16.8999996185303,12.8833332061768,38.8052215576172,778.556335449219,33,-0.200000002980232,33.2000007629395,12.4499998092651,22.4166660308838,26.2666664123535,7.05000019073486,1413,154,86,19.2570133209229,423,267,297,402
-112.09887,34.230035,18.1000003814697,17.6666660308838,47.491039276123,758.829833984375,38.2000007629395,1,37.2000007629395,27.5499992370605,20.5166664123535,27.6833343505859,9.41666603088379,442,62,7,44.726131439209,154,36,118,133
-87.0180417,35.6695247,14.4583330154419,13.5166664123535,38.3996200561523,833.251647949219,31.8999996185303,-3.29999995231628,35.2000007629395,14.1333332061768,20.4500007629395,24.533332824707,3.93333339691162,1358,147,89,16.0376281738281,403,273,306,347
-86.518198,36.589954,13.8958330154419,11.9416666030884,34.1190452575684,862.305236816406,31.1000003814697,-3.90000009536743,35,13.6833333969116,19.9833335876465,24.25,2.84999990463257,1296,134,78,15.6575355529785,374,258,309,329
-84.67161,30.387945,19.5208339691162,12.5583333969116,44.064323425293,625.348876953125,32.9000015258789,4.40000009536743,28.5000019073486,26.8500003814697,16.033332824707,26.8500003814697,11.5500001907349,1528,194,84,27.3572654724121,518,269,518,351
-84.86585333,32.56522685,17.5625,12.875,41.2660255432129,709.76025390625,32.5999984741211,1.39999997615814,31.1999988555908,10.0666666030884,18.283332824707,26.0833320617676,8.56666660308838,1289,148,61,22.4265098571777,393,235,333,368
-96.494779,32.07507,18.6375007629395,12.8083324432373,37.561092376709,780.673156738281,35.2999992370605,1.20000004768372,34.0999984741211,22.4500007629395,28.033332824707,28.033332824707,8.76666641235352,982,126,51,25.3799705505371,298,193,193,218
-117.793975,34.101116,17.7749996185303,14.6333332061768,52.8279228210449,465.9228515625,32.5999984741211,4.90000009536743,27.6999988555908,13.0833330154419,23.2999992370605,23.8833332061768,12.4333333969116,425,91,1,97.8694152832031,256,5,13,238
-118.979182,35.256692,17.7958335876465,15.2583332061768,45.2769508361816,682.00390625,35.4000015258789,1.70000004768372,33.7000007629395,11.3999996185303,26.0833339691162,26.0833339691162,9.56666660308838,168,34,0,79.4933471679688,91,4,4,75
-119.40322,35.55917,16.9333343505859,15.1333332061768,44.1205062866211,691.593444824219,35.5,1.20000004768372,34.2999992370605,10.6000003814697,25.4333343505859,25.4333343505859,8.64999961853027,180,37,0,84.6533737182617,103,3,3,88
-119.49704,36.123151,17,15.2000007629395,45.7831344604492,682.728515625,35.2000007629395,2,33.2000007629395,10.4833335876465,25.1666679382324,25.1666679382324,8.60000038146973,206,39,0,81.4379043579102,109,3,3,106
-120.243921,37.221041,16.3083343505859,15.6499996185303,46.5773811340332,665.725280761719,35,1.39999997615814,33.5999984741211,9.94999980926514,24.25,24.25,8.13333320617676,332,59,1,83.8177719116211,173,4,4,160
-121.022255,37.722175,16.6875,14.3083333969116,45.423282623291,634.755249023438,34.2999992370605,2.79999995231628,31.5,10.6166667938232,24.216667175293,24.216667175293,8.8333330154419,317,58,1,84.9216384887695,162,5,5,152
-121.24064,38.203687,15.7916669845581,14.8166666030884,47.642017364502,606.022155761719,33.2999992370605,2.20000004768372,31.0999984741211,10.0500001907349,22.9333324432373,22.9333324432373,8.26666641235352,481,96,2,87.8015213012695,261,8,8,248
-113.52938,37.062871,16.9541664123535,17.2083339691162,41.2669868469238,912.911071777344,39.2000007629395,-2.5,41.7000007629395,8.3333330154419,21.2666664123535,28.3999996185303,5.96666669845581,219,31,5,41.7425079345703,88,27,42,71
-98.59487,38.853901,12.4583330154419,14.0500001907349,33.136791229248,1031.32043457031,33.7999992370605,-8.60000038146973,42.4000015258789,22.4833335876465,-0.433333396911621,25.1333332061768,-0.433333396911621,673,99,15,52.679126739502,276,54,259,54
-98.187627,38.493199,12.5500001907349,13.4666662216187,32.2941665649414,1027.25805664062,33.5999984741211,-8.10000038146973,41.6999969482422,22.533332824707,-0.250000089406967,25.2000007629395,-0.250000089406967,703,102,14,51.8305206298828,290,57,269,57
-98.087387,37.974254,13.2833337783813,13.3833332061768,32.4051666259766,1016.95697021484,34.2000007629395,-7.09999990463257,41.2999992370605,23.1333332061768,0.583333432674408,25.783332824707,0.583333432674408,729,108,15,50.0579681396484,291,62,273,62
-97.281279,37.803326,13.5333337783813,12.5,31.0945281982422,1003.90673828125,33.5999984741211,-6.59999990463257,40.1999969482422,23.1499996185303,0.833333253860474,25.716667175293,0.833333253860474,818,119,21,45.6981964111328,315,78,286,78
-97.614886,38.630398,13.0416669845581,13.1499996185303,31.68674659729,1026.05346679688,33.9000015258789,-7.59999990463257,41.5,23,0.150000020861626,25.6000003814697,0.150000020861626,758,113,19,50.4197883605957,312,68,279,68
-96.863634,39.014661,12.658332824707,12.9333333969116,31.1646595001221,1039.05297851562,33.0999984741211,-8.39999961853027,41.5,22.7333335876465,-0.566666662693024,25.2333335876465,-0.566666662693024,856,135,19,52.1106071472168,350,69,319,69
-93.820249,38.395177,12.6624994277954,12.408332824707,31.0985813140869,992.625366210938,32.0999984741211,-7.80000019073486,39.8999977111816,17.8833332061768,-0.183333396911621,24.4833335876465,-0.183333396911621,1042,126,37,33.950855255127,352,133,314,133
-93.41276,37.555369,12.9250001907349,12.4499998092651,32.421875,939.328796386719,31.6000003814697,-6.80000019073486,38.4000015258789,17.6666660308838,0.883333325386047,24.1833343505859,0.883333325386047,1092,125,42,27.9858932495117,350,166,297,166
-92.420787,37.13527,12.75,12.3000001907349,32.9758720397949,907.133361816406,31,-6.30000019073486,37.2999992370605,17.3833332061768,1.11666667461395,23.6166667938232,1.11666667461395,1115,121,52,21.3653373718262,333,197,283,197
-91.324114,36.269959,14.5083332061768,13.4833335876465,35.8599281311035,880.15966796875,33.2000007629395,-4.40000009536743,37.6000022888184,14.5,25.0833339691162,25.0833339691162,3.21666669845581,1184,125,76,17.4747161865234,350,253,253,269
-90.576364,35.678394,15.6499996185303,11.533332824707,32.7651519775391,882.712768554688,33.0999984741211,-2.09999990463257,35.1999969482422,15.7333335876465,26.2333335876465,26.2333335876465,4.34999990463257,1213,131,74,20.9035816192627,383,238,238,296
-81.6265525,39.0249441,11.7250003814697,12.7333335876465,35.9698677062988,866.957885742188,29.5,-5.90000009536743,35.4000015258789,20.1499996185303,0.649999916553497,22.1333332061768,0.649999916553497,1112,122,77,13.7953834533691,321,242,319,242
-98.49152,40.78734,10.1499996185303,13.4833335876465,31.8754920959473,1062.14624023438,31.2000007629395,-11.1000003814697,42.3000030517578,20.716667175293,-3.21666669845581,23.0833339691162,-3.21666669845581,670,107,12,57.417854309082,287,45,256,45
-85.243019,39.61004,10.4624996185303,11.4916667938232,30.9748420715332,951.367736816406,28.8999996185303,-8.19999980926514,37.0999984741211,19.7333335876465,-1.83333337306976,21.7333335876465,-1.83333337306976,1082,123,64,20.8269500732422,339,210,311,210
