"Population","mean_intra_BC","n","Ecoregion"
"p_011",0.0209902316211627,3,"8.3"
"p_045",0.0557557075893353,11,"8.3"
"p_049",0.0403816379750668,3,"13.1"
"p_054",0.0539576743074909,11,"8.3"
"p_055",0.0510340328538766,10,"8.3"
"p_059",0.0379192535038105,12,"8.3"
"p_064",0.0482585952249275,12,"8.3"
"p_069",0.03702403619393,5,"9.4"
"p_080",0.0821887639891907,3,"10.2"
"p_089",0.0298168592778275,3,"11.1"
"p_092",0.0234157332944278,6,"11.1"
"p_093",0.0637790047740072,4,"11.1"
"p_095",0.0232554527664129,4,"11.1"
"p_098",0.0238772307598876,4,"11.1"
"p_102",0.0735209410337463,4,"11.1"
"p_104",0.0286293540200864,5,"11.1"
"p_106",0.0241746009888013,4,"10.2"
"p_107",0.0438831379960519,5,"9.4"
"p_108",0.0258321583374005,4,"9.4"
"p_109",0.0496434688406626,4,"9.4"
"p_110",0.0268887847620101,5,"9.4"
"p_118",0.0277460548573283,3,"9.2"
"p_120",0.0818579840204359,4,"8.4"
"p_122",0.0467224625962544,5,"8.4"
"p_124",0.027354914178753,5,"8.4"
"p_125",0.0418381325583503,4,"8.5"
"p_126",0.0601986985229195,3,"8.4"
"p_128",0.038939541458967,3,"8.4"
"p_131",0.047431701771257,5,"8.3"
"p_132",0.0402964569227982,7,"9.4"
"p_150",0.0393940711860606,5,"8.3"
"p_188",0.0789033728039343,3,"8.4"
"p_194",0.0397208418044766,6,"8.2"
"p_197",0.0397091684096283,9,"8.3"
"p_199",0.111823248469112,5,"8.3"
"p_204",0.0367551712116254,4,"8.4"
"p_206",0.0662876801965496,5,"8.4"
"p_207",0.0592000275245393,5,"8.1"
"p_215",0.0432475835852669,5,"8.4"
"p_218",0.0657327776293903,5,"9.2"
"p_220",0.0333961750580151,3,"9.4"
"p_223",0.0366426819185484,4,"9.4"
"p_224",0.0389717802363009,5,"8.3"
"p_225",0.0689487892131605,3,"8.3"
"p_229",0.0334903391069688,4,"8.3"
"p_230",0.0574619459546318,5,"8.3"
"p_232",0.0382082762012229,4,"8.3"
"p_235",0.0311246660223678,5,"8.3"
"p_239",0.0451410788016015,3,"8.3"
"p_241",0.0246597520951231,4,"8.3"
"p_242",0.0420246059207496,4,"8.4"
"p_243",0.0273702743662655,6,"8.4"
"p_244",0.0493515503191821,5,"10.2"
"p_245",0.0387283890099488,3,"13.1"
"p_246",0.0449196916594447,3,"10.2"
