"Population","n_individuals"
"p_011",3
"p_028",2
"p_045",11
"p_049",3
"p_054",11
"p_055",10
"p_059",12
"p_064",12
"p_069",5
"p_076",1
"p_078",1
"p_080",3
"p_081",2
"p_085",1
"p_089",3
"p_092",6
"p_093",4
"p_095",4
"p_098",4
"p_099",2
"p_102",4
"p_104",5
"p_106",4
"p_107",5
"p_108",4
"p_109",4
"p_110",5
"p_111",2
"p_113",1
"p_118",3
"p_120",4
"p_122",5
"p_124",5
"p_125",4
"p_126",3
"p_128",3
"p_131",5
"p_132",7
"p_150",5
"p_188",3
"p_194",6
"p_197",9
"p_199",5
"p_204",4
"p_206",5
"p_207",5
"p_215",5
"p_218",5
"p_220",3
"p_223",4
"p_224",5
"p_225",3
"p_229",4
"p_230",5
"p_232",4
"p_235",5
"p_239",3
"p_241",4
"p_242",4
"p_243",6
"p_244",5
"p_245",3
"p_246",3
