"Family","mean_contrib","sd_contrib","n_pairs_present"
"SCEN1_SB",0.00304725105333226,0.00165243402046496,1485
"ATHILA.1_SBi.I",0.00279145328067417,0.00142629128831303,1485
"Gypsy.136_SBi.I",0.00257720899565368,0.0012954102978844,1485
"Gypsy.125_SBi.I",0.00244270978627698,0.00127520732161098,1485
"ATHILA.1_SBi.LTR",0.00217184516787212,0.00109318522911548,1485
"Gypsy.122_SBi.I",0.00197600113643019,0.00115265419921052,1485
"Gypsy.22_SB.I",0.00197052406400269,0.00119492589086264,1485
"Gypsy.131_SBi.I",0.00183103893836628,0.000947753792885107,1485
"Gypsy.121_SBi.I",0.00172123751176524,0.00104338810620044,1485
"Gypsy.128_SBi.I",0.0016177488713786,0.000920088681027177,1485
"Gypsy.127_SBi.I",0.00160880453338058,0.000795022587634286,1485
"Copia.34_SB.I",0.00151844963660294,0.000940948083439329,1485
"ATHILA.3_SBi.I",0.00148260131346468,0.000785106644260458,1485
"Copia.141_SB.I",0.00144030994725555,0.0010352608750199,1485
"Gypsy.125_SBi.LTR",0.00134582367229792,0.000666592890393388,1485
