"ID","Population","Ecoregion","State","Cluster"
"JG_CO_011_L","p_011","8.3","AL","2"
"JG_CO_011_M","p_011","8.3","AL","2"
"JG_CO_011_P","p_011","8.3","AL","2"
"JG_CO_045_A","p_045","8.3","MS","3"
"JG_CO_045_C","p_045","8.3","MS","5"
"JG_CO_045_D","p_045","8.3","MS","5"
"JG_CO_045_E","p_045","8.3","MS","3"
"JG_CO_045_F","p_045","8.3","MS","3"
"JG_CO_045_G","p_045","8.3","MS","3"
"JG_CO_045_H","p_045","8.3","MS","5"
"JG_CO_045_I","p_045","8.3","MS","3"
"JG_CO_045_J","p_045","8.3","MS","5"
"JG_CO_045_K","p_045","8.3","MS","3"
"JG_CO_045_L","p_045","8.3","MS","3"
"JG_CO_049_A","p_049","13.1","AZ","2"
"JG_CO_049_B","p_049","13.1","AZ","2"
"JG_CO_049_C","p_049","13.1","AZ","2"
"JG_CO_054_A","p_054","8.3","TN","3"
"JG_CO_054_B","p_054","8.3","TN","3"
"JG_CO_054_C","p_054","8.3","TN","3"
"JG_CO_054_D","p_054","8.3","TN","3"
"JG_CO_054_E","p_054","8.3","TN","3"
"JG_CO_054_F","p_054","8.3","TN","3"
"JG_CO_054_G","p_054","8.3","TN","3"
"JG_CO_054_H","p_054","8.3","TN","3"
"JG_CO_054_I","p_054","8.3","TN","3"
"JG_CO_054_J","p_054","8.3","TN","3"
"JG_CO_054_K","p_054","8.3","TN","3"
"JG_CO_055_A","p_055","8.3","TN","3"
"JG_CO_055_B","p_055","8.3","TN","3"
"JG_CO_055_C","p_055","8.3","TN","2"
"JG_CO_055_D","p_055","8.3","TN","3"
"JG_CO_055_E","p_055","8.3","TN","3"
"JG_CO_055_F","p_055","8.3","TN","3"
"JG_CO_055_G","p_055","8.3","TN","3"
"JG_CO_055_H","p_055","8.3","TN","3"
"JG_CO_055_I","p_055","8.3","TN","3"
"JG_CO_055_K","p_055","8.3","TN","3"
"JG_CO_059_A","p_059","8.3","FL","2"
"JG_CO_059_B","p_059","8.3","FL","3"
"JG_CO_059_C","p_059","8.3","FL","3"
"JG_CO_059_D","p_059","8.3","FL","3"
"JG_CO_059_E","p_059","8.3","FL","3"
"JG_CO_059_F","p_059","8.3","FL","3"
"JG_CO_059_G","p_059","8.3","FL","3"
"JG_CO_059_H","p_059","8.3","FL","2"
"JG_CO_059_I","p_059","8.3","FL","3"
"JG_CO_059_J","p_059","8.3","FL","3"
"JG_CO_059_K","p_059","8.3","FL","2"
"JG_CO_059_L","p_059","8.3","FL","3"
"JG_CO_064_A","p_064","8.3","GA","3"
"JG_CO_064_B","p_064","8.3","GA","2"
"JG_CO_064_C","p_064","8.3","GA","3"
"JG_CO_064_D","p_064","8.3","GA","2"
"JG_CO_064_E","p_064","8.3","GA","3"
"JG_CO_064_F","p_064","8.3","GA","3"
"JG_CO_064_G","p_064","8.3","GA","3"
"JG_CO_064_H","p_064","8.3","GA","3"
"JG_CO_064_I","p_064","8.3","GA","3"
"JG_CO_064_J","p_064","8.3","GA","2"
"JG_CO_064_K","p_064","8.3","GA","2"
"JG_CO_064_L","p_064","8.3","GA","3"
"JG_CO_069_A","p_069","9.4","TX","5"
"JG_CO_069_B","p_069","9.4","TX","5"
"JG_CO_069_C","p_069","9.4","TX","5"
"JG_CO_069_D","p_069","9.4","TX","5"
"JG_CO_069_E","p_069","9.4","TX","5"
"JG_CO_080_B","p_080","10.2","TX","3"
"JG_CO_080_C","p_080","10.2","TX","4"
"JG_CO_080_D1","p_080","10.2","TX","2"
"JG_CO_089_A","p_089","11.1","CA","2"
"JG_CO_089_B","p_089","11.1","CA","2"
"JG_CO_089_D","p_089","11.1","CA","2"
"JG_CO_092_A","p_092","11.1","CA","2"
"JG_CO_092_B","p_092","11.1","CA","2"
"JG_CO_092_C","p_092","11.1","CA","2"
"JG_CO_092_D","p_092","11.1","CA","2"
"JG_CO_092_E","p_092","11.1","CA","2"
"JG_CO_092_F","p_092","11.1","CA","2"
"JG_CO_093_A","p_093","11.1","CA","2"
"JG_CO_093_B","p_093","11.1","CA","2"
"JG_CO_093_C","p_093","11.1","CA","5"
"JG_CO_093_E","p_093","11.1","CA","2"
"JG_CO_095_A","p_095","11.1","CA","2"
"JG_CO_095_B","p_095","11.1","CA","2"
"JG_CO_095_D","p_095","11.1","CA","2"
"JG_CO_095_E","p_095","11.1","CA","2"
"JG_CO_098_A","p_098","11.1","CA","2"
"JG_CO_098_B","p_098","11.1","CA","2"
"JG_CO_098_C","p_098","11.1","CA","2"
"JG_CO_098_F","p_098","11.1","CA","2"
"JG_CO_102_A","p_102","11.1","CA","2"
"JG_CO_102_B","p_102","11.1","CA","1"
"JG_CO_102_E","p_102","11.1","CA","1"
"JG_CO_102_F","p_102","11.1","CA","5"
"JG_CO_104_A","p_104","11.1","CA","1"
"JG_CO_104_B","p_104","11.1","CA","1"
"JG_CO_104_C","p_104","11.1","CA","1"
"JG_CO_104_D","p_104","11.1","CA","1"
"JG_CO_104_E","p_104","11.1","CA","4"
"JG_CO_106_A","p_106","10.2","UT","1"
"JG_CO_106_B","p_106","10.2","UT","1"
"JG_CO_106_D","p_106","10.2","UT","1"
"JG_CO_106_F","p_106","10.2","UT","1"
"JG_CO_107_A","p_107","9.4","KS","2"
"JG_CO_107_B","p_107","9.4","KS","4"
"JG_CO_107_C","p_107","9.4","KS","1"
"JG_CO_107_D","p_107","9.4","KS","4"
"JG_CO_107_E","p_107","9.4","KS","4"
"JG_CO_108_B","p_108","9.4","KS","1"
"JG_CO_108_D","p_108","9.4","KS","1"
"JG_CO_108_E","p_108","9.4","KS","1"
"JG_CO_108_F","p_108","9.4","KS","1"
"JG_CO_109_A","p_109","9.4","KS","1"
"JG_CO_109_B","p_109","9.4","KS","1"
"JG_CO_109_C","p_109","9.4","KS","1"
"JG_CO_109_E","p_109","9.4","KS","5"
"JG_CO_110_A","p_110","9.4","KS","5"
"JG_CO_110_B","p_110","9.4","KS","5"
"JG_CO_110_C","p_110","9.4","KS","5"
"JG_CO_110_D","p_110","9.4","KS","5"
"JG_CO_110_E","p_110","9.4","KS","5"
"JG_CO_118_B","p_118","9.2","MO","1"
"JG_CO_118_C","p_118","9.2","MO","1"
"JG_CO_118_E","p_118","9.2","MO","4"
