Species	-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/JG_CO_011_L	0.000152185869111534	0.00308834829874645	0.0160268284801924	0.000784910584492026	0.000312587396739763	0.000405789028747457	2.52075342147019e-05	0.000496607536085351	4.34692953166949e-05	0.000166633760584645	7.35912995447343e-05	0.000484831371009804	0.00184531213843842
4_Transposome/JG_CO_011_M	0.00020264760634779	0.00166468130265513	0.00650050994072593	0.000863702869737623	0.000296613380903119	0.000440540054377815	2.66137240057504e-05	0.000538721303799959	4.74914423827293e-05	0.000170324037126598	7.8618509576185e-05	0.000368034118129748	0.0016269531546264
4_Transposome/JG_CO_011_P	0.000230035002343027	0.00228800923967687	0.00495578323679756	0.000791368561774929	0.000359608218547943	0.000356419005091136	2.36948865977026e-05	0.000546153306636026	4.87915025549435e-05	0.000177320064912731	7.49628672671054e-05	0.000357100404058774	0.00174801703864893
4_Transposome/JG_CO_028_C	0.00029162977364854	0.00297285140062751	0.0114225119868777	0.000977661932796245	0.000443375784380664	0.000466595303238458	2.77116933716776e-05	0.000463466270294149	5.44674427524795e-05	0.00021557377187546	8.82674883199083e-05	0.000457504335403101	0.0018742915379584
4_Transposome/JG_CO_028_F	0.000264884758228218	0.00204712181023109	0.00572704464501386	0.000871065502371932	0.000280064961169423	0.000389377790822326	2.51348797832425e-05	0.000455827127805779	5.63736076350742e-05	0.000160715123547856	7.20231429067632e-05	0.000354310329911305	0.00173025743936874
4_Transposome/JG_CO_045_A	0.000215951848153251	0.00213706038804954	0.0144455179129974	0.000792428539391818	0.000291341470555271	0.000409140879726728	2.50448161606284e-05	0.000563450282861409	5.38814768312302e-05	0.000161128476931271	7.4358812138267e-05	0.000416510074243724	0.00171963302956405
4_Transposome/JG_CO_045_C	0.000169074230546732	0.00584270904847834	0.0277350395017411	0.00151484295237963	0.000276676894643657	0.00042073375806192	3.26752454578022e-05	0.000525652168022698	5.60554798125579e-05	0.000153236785804203	6.42702504828936e-05	0.000530220995561631	0.00296565179226101
4_Transposome/JG_CO_045_D	0.000179436860455429	0.00205411749312162	0.010795410498488	0.000806945505176345	0.000379586296019444	0.00048585021758959	3.28459886779684e-05	0.000430765643151319	5.01603422954552e-05	0.00019078950830261	5.37471296289666e-05	0.000457926965889102	0.00168023764730041
4_Transposome/JG_CO_045_E	0.000177417717151068	0.00274044384029934	0.00595191325103288	0.000825571186592186	0.000309144943667409	0.000448301551354529	4.07463938403951e-05	0.000455356866884576	5.28220075376226e-05	0.000235067702220779	7.69899285856862e-05	0.000429655514299476	0.001677770200104
4_Transposome/JG_CO_045_F	0.000200189018692259	0.00267599068244108	0.00959049737330281	0.000805180624100871	0.000352446116675391	0.000460322797329609	4.28556896219202e-05	0.000459466553068573	5.39597225742905e-05	0.000215930863643599	6.13356897724775e-05	0.000417657286967457	0.00169010125925932
