Species		-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/Sorghum_halepense-JG_CO_102_F	0.00145464893760796	0.084362696079251	0.466117679436962	0.0163068922554446	0.00263141806507988	0.00396229411725514	5.4670765940363e-05	0.00631981915140714	6.15705973835633e-05	0.00114052533041866	0.000129285706470133	0.00481861075672087	0.0327392993514901	
4_Transposome/Sorghum_halepense-JG_CO_104_A	0.00132916738557309	0.0873572993374984	0.42630263801335	0.0115164213678794	0.00230453831326871	0.00370679753503674	5.08820032969136e-05	0.00482254572476408	7.10508723201239e-05	0.000104265914630919	0.000132061581279621	0.00385146077149857	0.0347092272468057	
4_Transposome/Sorghum_halepense-JG_CO_104_B	0.00126500708493116	0.0884677477815808	0.429676286744746	0.0106294659312302	0.00218214839924217	0.00355375653595255	5.23899613593288e-05	0.00518702332509329	7.54707684230091e-05	0.000504190727414073	0.000125418685793986	0.00364175514359905	0.0353242851792583	
4_Transposome/Sorghum_halepense-JG_CO_104_C	0.00153579138678938	0.0877481569288924	0.431135286071201	0.0106583586815686	0.00231331179622992	0.00360086788230572	4.75551551216299e-05	0.00528447277404366	8.58956861568895e-05	0.00133964457908985	0.000124682597281568	0.00376962441001547	0.0353140621645708	
4_Transposome/Sorghum_halepense-JG_CO_104_D	0.000966765439546083	0.0893509567081732	0.432354712254874	0.0107256308551764	0.00213345801768726	0.0036351314838915	5.11607106116835e-05	0.00492257157333566	8.10953990664661e-05	0.000724037919765893	0.000120564849896757	0.00366962809633147	0.0361858259545331	
4_Transposome/Sorghum_halepense-JG_CO_104_E	0.00099485222305521	0.0841275366166594	0.419327293558389	0.0117416630587381	0.00234621809371562	0.00363783141792121	5.10782530731499e-05	0.00507102067334404	7.58703442647526e-05	0.00134176930773933	0.000130234951491864	0.00398041400678028	0.0338996287227202	
4_Transposome/Sorghum_halepense-JG_CO_106_A	0.000889414643313301	0.0891207352046096	0.439724233569006	0.0117285464016277	0.00215280669100053	0.00364944596406066	5.01363001244917e-05	0.00524369980022104	8.33198173073024e-05	0.000924532636698756	0.000138580529739439	0.00380271513023115	0.0343411899721149	
4_Transposome/Sorghum_halepense-JG_CO_106_B	0.00111065547548088	0.0856622414614152	0.442823630601834	0.0118997185422894	0.00225665199930894	0.00376142010375078	5.69698351677406e-05	0.00531749682544349	8.05884955274431e-05	0.000909509582304328	0.000118843464713346	0.00400156927880035	0.0339270290540339	
4_Transposome/Sorghum_halepense-JG_CO_106_D	0.00106727722627798	0.0841212811746109	0.430113525516734	0.0114767254317092	0.0022706472193759	0.00355362513869985	5.10942290922093e-05	0.00496976915573287	7.48958271224234e-05	0.000751521861640583	0.000106858538295412	0.00386979512497199	0.0338528983331639	
4_Transposome/Sorghum_halepense-JG_CO_106_F	0.00105385828325627	0.0876323372547363	0.434945763190116	0.0109282582149541	0.00226943798433881	0.00372174217570215	5.6263087377152e-05	0.00510225478494937	7.63048912380028e-05	0.000825464086608778	0.000124831487922782	0.00379851541895481	0.0346702691400777	
4_Transposome/Sorghum_halepense-JG_CO_107_A	0.00181622573468731	0.087748505593684	0.474173696523775	0.0178309234836638	0.00267224091806983	0.0040409122819319	4.58667958035393e-05	0.00630251660238507	6.85360123887545e-05	0.00225139701297503	0.00012384000640044	0.00517222240030696	0.033428516636792	
4_Transposome/Sorghum_halepense-JG_CO_107_B	0.0014583541004022	0.082082529345944	0.427851580217748	0.0119310290683765	0.0022764358939333	0.00358430642861234	4.17183161521025e-05	0.00483891735583167	7.70533185502168e-05	0.00098035614452257	0.000112528358765698	0.00392287235743984	0.033263729049209	
