Species		-	Copia	Gypsy	Harbinger	Helitron	L1	MSAT	MuDR	RTE	SAT	SINE2/tRNA	hAT	unclassified
4_Transposome/Sorghum_halepense-JG_CO_102_F	0.000241625109040278	0.00163602889269771	0.00819073261819142	0.000627914535858438	0.000247839046621725	0.000339112343617913	3.04449872029451e-05	0.00043654719394628	3.83025711466156e-05	0.000173182261242944	6.45087851474757e-05	0.000339089111915102	0.00227906648485896	
4_Transposome/Sorghum_halepense-JG_CO_104_A	0.000192129859910116	0.00231417017265608	0.00603620934272618	0.000713979189276287	0.000245696544247681	0.000280802841210043	2.55424195675297e-05	0.000376069433033491	3.88822147937517e-05	4.88510266815653e-05	5.96120652547365e-05	0.000344562475949378	0.00193170316617487	
4_Transposome/Sorghum_halepense-JG_CO_104_B	0.000199790452297895	0.00385333135543953	0.0188743588035666	0.000690614726743329	0.000249781479564295	0.000432499813810432	3.22384313687036e-05	0.000446686549198896	4.20687545229558e-05	0.000150351303881115	4.45034715027045e-05	0.000278388299231772	0.00221004544292686	
4_Transposome/Sorghum_halepense-JG_CO_104_C	0.000254053322173315	0.0031902769168346	0.011951246929763	0.00067221266131018	0.000253143118776933	0.000372163757661376	2.27858178787182e-05	0.000404615808971433	4.36249047359028e-05	0.00017611575729186	5.04577183760539e-05	0.000354868183347181	0.00201154788871726	
4_Transposome/Sorghum_halepense-JG_CO_104_D	0.000173083086080779	0.00399882733701573	0.0193792306524107	0.000631279689287566	0.000277002971609781	0.000358289049203188	2.60490897786441e-05	0.000485785996345758	4.80535199632719e-05	0.000208103616756615	5.45907989426281e-05	0.000390198077108622	0.00263809429011006	
4_Transposome/Sorghum_halepense-JG_CO_104_E	0.000186026138326493	0.00365955594797252	0.0165900114220054	0.000744474108055514	0.000194973299366234	0.000363122404783441	2.80957706976225e-05	0.000432381360991339	4.3118399616113e-05	0.000243367846641801	5.41466027657409e-05	0.000353100535565312	0.0024180197465216	
4_Transposome/Sorghum_halepense-JG_CO_106_A	0.000166933040476342	0.00221328868552622	0.00647025175999772	0.0005614228892687	0.000219387451276518	0.000251131051811745	2.75100416225312e-05	0.000456133431690732	4.21190115714079e-05	0.000189238045130555	5.28323851839072e-05	0.000316948745585561	0.00201802108606439	
4_Transposome/Sorghum_halepense-JG_CO_106_B	0.00019932142419197	0.0019363402793527	0.00617021213665153	0.000703408193599268	0.000295190145349966	0.000426109921515991	2.54963567710447e-05	0.000404042086416832	3.67330543480506e-05	0.000246741802675671	5.65248691840925e-05	0.000322692658132059	0.002020224713576	
4_Transposome/Sorghum_halepense-JG_CO_106_D	0.000155958142915856	0.00214679425718686	0.00908293868879508	0.000616798955341061	0.000243789718124266	0.000292708904669274	2.54008177213067e-05	0.000396112741834267	4.77478276404886e-05	0.000206157014857383	5.35516433056793e-05	0.000382029657832503	0.00180415463274834	
4_Transposome/Sorghum_halepense-JG_CO_106_F	0.000191957194895453	0.00213226246093916	0.00791612305384067	0.000567102525214448	0.000265501159129698	0.000354658061164836	3.21307114060476e-05	0.00042623249388759	3.78780944554593e-05	0.000185150975822181	5.17160831227047e-05	0.000334515203727997	0.00171492458057428	
4_Transposome/Sorghum_halepense-JG_CO_107_A	0.000267755333142768	0.00149794569158319	0.00461628637830947	0.000815948487195321	0.000331151491381953	0.000320559716530488	2.51362598374601e-05	0.000448238460154508	5.22442662198021e-05	0.000248586795604342	6.31542647861624e-05	0.000474593554704357	0.002490195550632	
4_Transposome/Sorghum_halepense-JG_CO_107_B	0.000224342939755064	0.00334632187260445	0.0168122546992383	0.000744628093662033	0.000214227335929877	0.000399807056673287	2.05275355449688e-05	0.000397226486882374	3.89568245684521e-05	0.000168926998346289	5.27786396815513e-05	0.000383021499060018	0.00233956580619693	
4_Transposome/Sorghum_halepense-JG_CO_107_C	0.000172814897676782	0.00200165091231094	0.0062112419304338	0.00060906547310485	0.000232157798368703	0.000278410208908726	2.61174238496998e-05	0.000423604116892027	3.61259133120009e-05	0.000228801720552083	6.03587362970742e-05	0.000328317206285215	0.00190061795509576	
4_Transposome/Sorghum_halepense-JG_CO_107_D	0.00018030215384449	0.00190272114769303	0.00643228628743016	0.000528602607324933	0.000325651284385724	0.000250267813974738	2.65091173215047e-05	0.000408616861449382	3.83147247488388e-05	0.000162254113166899	4.75225420266219e-05	0.000370100241680757	0.00179734072954257	
4_Transposome/Sorghum_halepense-JG_CO_107_E	0.000161551469488294	0.00302610589554387	0.0116120999011304	0.000663218462963878	0.000257127236339248	0.000319300395639167	2.52509271743458e-05	0.000336801295475351	4.38815215022412e-05	0.000249278025507421	5.30804270255076e-05	0.000368342832292381	0.00188143527598811	
4_Transposome/Sorghum_halepense-JG_CO_108_B	0.000170188547036023	0.00454623641171312	0.0272118083087106	0.000714060471917993	0.000329728096181908	0.000436067240449854	2.88481479866765e-05	0.000550393785734156	3.1981686890866e-05	0.000199062352336758	5.25176064680204e-05	0.00043614818235552	0.00284134386716312	
